,Precision,Recall,f1
0,0.5833853841349157,0.6680972818311874,0.6228752416595724
1,0.17300521998508575,0.9115913555992141,0.2908188986017675
2,0.3342696629213483,0.8851239669421488,0.48527508797891605
3,0.8337801608579088,0.629130141604855,0.7171416120084743
4,0.6151797603195739,0.9058823529411765,0.7327527361244869
5,0.48569689592209375,0.981549815498155,0.6498380892609302
6,0.3931583880037488,0.6755233494363929,0.49703886818250526
7,0.2785388127853881,0.7956521739130434,0.4126277936052421
8,0.41969568892645814,0.8268109908409659,0.5567713506237044
9,0.45788667687595713,0.8641618497109826,0.5985995533204911
10,0.4379322897706589,0.9099848714069592,0.5913010298605055
11,0.7857142857142857,0.6866746698679472,0.7328644992332763
12,0.3765541740674956,0.5260545905707196,0.4389243468168292
13,0.5100567302733368,0.7089605734767025,0.5932822950624371
14,0.6483669214732453,0.7100456621004566,0.6778069798887728
15,0.5350571854798608,0.6746081504702194,0.5967840898778622
16,0.24769181789239095,0.9036004645760743,0.38880656343016934
17,0.4030478192327903,0.7654690618762475,0.528056032262475
18,0.24888261585509291,0.8787375415282392,0.38790197384934444
19,0.4946351931330472,0.7582236842105263,0.5987022509144919
